FirstName,LastName,Social,DOB1,RegPMT,Street,Address1,City,State,ZipCode,PhoneAreaCode,PhoneNumber,PhoneNumber1,,,,ECOA,J1ECOA,FirstName2,LastName2,Social2,DOB2,SecondaryStreet,Address2,City,State,ZipCode,PhoneAreaCode,PhoneNumber,PhoneNumber2
Mason,Anderson,153704136,2/27/1990,721,Walnut Street,4592 Walnut Street,Albion,CA,95410,707,3353393,7073353393,,,,,,Jackson,Lee,730930493,3/3/1988,Mill Road,127 Mill Road,Albion,CA,95410,707,7062260,7077062260
James,Thomas,147462918,5/31/1970,196,2nd Street,4852 2nd Street,Alderpoint,CA,95511,707,7754173,7077754173,,,,,,Anthony,Walker,257672122,4/10/1992,5th Street North,156 5th Street North,Alderpoint,CA,95511,707,7434311,7077434311
Aiden,Jackson,156964356,5/2/1979,709,Chestnut Street,5112 Chestnut Street,Alhambra,CA,91804,323,3765018,3233765018,,,,,,Harper,Hall,943931417,5/20/1998,7th Avenue,213 7th Avenue,Alhambra,CA,91804,323,8723162,3238723162
Ethan,White,277164812,6/4/1969,506,Maple Avenue,5371 Maple Avenue,Aliso Viejo,CA,92656,949,3028420,9493028420,,,,,,Evelyn,Allen,905845137,6/30/1990,8th Street,9874 8th Street,Aliso Viejo,CA,92656,949,2232460,9492232460
Lucas,Harris,805701043,1/25/1980,561,Maple Street,5631 Maple Street,Alleghany,CA,95910,530,2782454,5302782454,,,,,,Dylan,Young,201630100,5/8/1991,Beech Street,1547 Beech Street,Alleghany,CA,95910,530,8297446,5308297446
Jacob,Martin,893877659,2/27/1990,940,Broad Street,5891 Broad Street,Alpaugh,CA,93201,559,2400111,5592400111,,,,,,Wyatt,Hernandez,686537544,5/10/1977,Division Street,236 Division Street,Alpaugh,CA,93201,559,6172306,5596172306
Michael,Thompson,451354748,1/25/1980,282,Oak Street,6150 Oak Street,Alpine,CA,91901,858,5796988,8585796988,,,,,,Madison,King,763931557,12/5/1972,Harrison Street,1879 Harrison Street,Alpine,CA,91901,858,3666857,8583666857
Matthew,Garcia,930429677,2/27/1990,744,Center Street,6410 Center Street,Alta,CA,95701,530,6027456,5306027456,,,,,,Grayson,Wright,894371580,11/10/1975,Heather Lane,1820 Heather Lane,Alta,CA,95701,530,5885659,5305885659
Benjamin,Martinez,672296793,5/31/1970,871,Pine Street,6670 Pine Street,Bangor,CA,95914,530,5576765,5305576765,,,,,,Isaiah,Lopez,480748697,3/3/1988,Lakeview Drive,1761 Lakeview Drive,Bangor,CA,95914,530,4609130,5304609130
Amelia,Robinson,373447255,5/2/1979,230,River Road,6930 River Road,Banning,CA,92223,951,8449243,9518449243,,,,,,Christopher,Hill,907919126,4/10/1992,Laurel Lane,1702 Laurel Lane,Banning,CA,92223,951,8656584,9518656584
Charlotte,Clark,647860697,6/4/1969,590,Market Street,7189 Market Street,Bard,CA,92222,760,3303026,7603303026,,,,,,Joshua,Scott,871560802,5/20/1998,New Street,1642 New Street,Bard,CA,92222,760,5464065,7605464065
Alexander,Rodriguez,334711810,1/25/1980,843,Water Street,7449 Water Street,Barstow,CA,92312,760,9529739,7609529739,,,,,,Victoria,Green,666397883,6/30/1990,Primrose Lane,1583 Primrose Lane,Barstow,CA,92312,760,1783340,7601783340
William,Lewis,316785124,2/27/1990,796,South Street,7709 South Street,Bass Lake,CA,93604,559,2646769,5592646769,,,,,,Christian,Adams,141803998,5/8/1991,Railroad Street,1524 Railroad Street,Bass Lake,CA,93604,559,8115086,5598115086
Daniel,Lee,836425138,5/31/1970,858,Union Street,7968 Union Street,Bayside,CA,95524,707,2893658,7072893658,,,,,,Samuel,Baker,439933694,5/10/1977,Willow Street,1464 Willow Street,Bayside,CA,95524,707,5331995,7075331995
Jayden,Walker,323891648,5/2/1979,157,3rd Street,8228 3rd Street,Beale Afb,CA,95903,530,9408404,5309408404,,,,,,Andrew,Gonzalez,888260520,12/5/1972,5th Street West,1405 5th Street West,Beale Afb,CA,95903,530,8516414,5308516414
Oliver,Hall,319414671,1/25/1980,386,Park Street,8488 Park Street,Beaumont,CA,92583,951,2060694,9512060694,,,,,,Mateo,Nelson,439556385,11/10/1975,6th Avenue,1346 6th Avenue,Beaumont,CA,92583,951,4096948,9514096948
Carter,Allen,383570596,2/27/1990,366,Cherry Street,8748 Cherry Street,Beckwourth,CA,96129,530,7881683,5307881683,,,,,,Sofia,Carter,323137485,3/3/1988,Clinton Street,1287 Clinton Street,Beckwourth,CA,96129,530,8026087,5308026087
Sebastian,Young,194438245,5/31/1970,640,Washington Avenue,9007 Washington Avenue,Belden,CA,95915,530,6776352,5306776352,,,,,,Jaxon,Mitchell,729166763,4/10/1992,George Street,1227 George Street,Belden,CA,95915,530,1073637,5301073637
Joseph,Hernandez,960157041,5/2/1979,344,4th Street,9267 4th Street,Bell,CA,90058,323,7764330,3237764330,,,,,,Josiah,Perez,664891942,5/20/1998,Hillcrest Drive,1168 Hillcrest Drive,Bell,CA,90058,323,8986218,3238986218
David,King,865662460,6/4/1969,494,Court Street,9527 Court Street,Bell Gardens,CA,90201,562,4065482,5624065482,,,,,,John,Roberts,833298973,6/30/1990,Hillside Drive,1109 Hillside Drive,Bell Gardens,CA,90201,562,9306758,5629306758
Abigail,Wright,948900705,1/25/1980,851,Highland Avenue,9786 Highland Avenue,Bella Vista,CA,96008,530,9586887,5309586887,,,,,,Scarlett,Turner,429830350,5/8/1991,Laurel Street,1050 Laurel Street,Bella Vista,CA,96008,530,5484806,5305484806
Emily,Lopez,191221853,2/27/1990,376,North Street,10046 North Street,Bellflower,CA,90706,562,1114190,5621114190,,,,,,Luke,Phillips,936019589,5/10/1977,Oak Lane,990 Oak Lane,Bellflower,CA,90706,562,3265246,5623265246
Gabriel,Hill,944569740,1/25/1980,150,Mill Street,10306 Mill Street,Belmont,CA,94403,650,3617760,6503617760,,,,,,Aria,Campbell,606437185,12/5/1972,Park Drive,931 Park Drive,Belmont,CA,94403,650,4604172,6504604172
Julian,Scott,503079470,2/27/1990,787,Franklin Street,10566 Franklin Street,Belvedere Tiburon,CA,94920,415,1555461,4151555461,,,,,,Ryan,Parker,995448866,11/10/1975,Penn Street,872 Penn Street,Belvedere Tiburon,CA,94920,415,1762872,4151762872
Jackson,Green,498972657,5/31/1970,464,Prospect Street,10825 Prospect Street,Ben Lomond,CA,95005,831,2345657,8312345657,,,,,,Elizabeth,Evans,733744588,3/3/1988,Railroad Avenue,813 Railroad Avenue,Ben Lomond,CA,95005,831,2580255,8312580255
Anthony,Adams,572434072,5/2/1979,145,School Street,11085 School Street,Benicia,CA,94510,707,7292009,7077292009,,,,,,Camila,Edwards,399953036,4/10/1992,Riverside Drive,753 Riverside Drive,Benicia,CA,94510,707,6217760,7076217760
Harper,Baker,113028090,6/4/1969,145,Spring Street,11345 Spring Street,Benton,CA,93512,760,5719900,7605719900,,,,,,Nathan,Collins,848607727,5/20/1998,Route 32,694 Route 32,Benton,CA,93512,760,5547346,7605547346
Evelyn,Gonzalez,759224593,1/25/1980,658,Central Avenue,11604 Central Avenue,Berkeley,CA,94702,510,1704100,5101704100,,,,,,Layla,Stewart,695180034,6/30/1990,Route 6,635 Route 6,Berkeley,CA,94702,510,5013471,5105013471
Dylan,Nelson,150164992,2/27/1990,346,1st Street,11864 1st Street,Berry Creek,CA,95916,530,2169400,5302169400,,,,,,Isaac,Sanchez,990671736,5/8/1991,Sherwood Drive,575 Sherwood Drive,Berry Creek,CA,95916,530,2974898,5302974898
Wyatt,Carter,762970358,5/31/1970,207,State Street,12124 State Street,Bethel Island,CA,94511,925,6284686,9256284686,,,,,,Owen,Smith,158397312,5/10/1977,Summit Street,516 Summit Street,Bethel Island,CA,94511,925,6175398,9256175398
Madison,Mitchell,823532399,5/2/1979,780,Front Street,12384 Front Street,Beverly Hills,CA,90209,213,3253201,2133253201,,,,,,Ella,Johnson,842005380,12/5/1972,4th Street North,457 4th Street North,Beverly Hills,CA,90209,213,7971138,2137971138
Grayson,Perez,283541970,1/25/1980,427,West Street,12643 West Street,Bieber,CA,96009,530,1110098,5301110098,,,,,,Henry,Williams,742818379,11/10/1975,Berkshire Drive,398 Berkshire Drive,Bieber,CA,96009,530,7679218,5307679218
Isaiah,Roberts,475880265,2/27/1990,998,Jefferson Street,12903 Jefferson Street,Big Bar,CA,96010,530,7018422,5307018422,,,,,,Levi,Jones,549791620,3/3/1988,Buckingham Drive,338 Buckingham Drive,Big Bar,CA,96010,530,3283201,5303283201
Christopher,Turner,372051235,5/31/1970,813,Cedar Street,13163 Cedar Street,Big Bear City,CA,92314,909,2841004,9092841004,,,,,,Aaron,Brown,844657700,4/10/1992,Cedar Lane,279 Cedar Lane,Big Bear City,CA,92314,909,9392437,9099392437
Joshua,Phillips,199493754,5/2/1979,813,Jackson Street,13422 Jackson Street,Big Bear Lake,CA,92333,909,7459010,9097459010,,,,,,Caleb,Davis,673076578,5/20/1998,Circle Drive,220 Circle Drive,Big Bear Lake,CA,92333,909,5530542,9095530542
Victoria,Campbell,453143181,6/4/1969,503,Park Place,13682 Park Place,Big Bend,CA,96011,530,4272094,5304272094,,,,,,Chloe,Miller,166652001,6/30/1990,Durham Road,161 Durham Road,Big Bend,CA,96011,530,6004233,5306004233
Christian,Parker,303606179,1/25/1980,312,Bridge Street,13942 Bridge Street,Big Creek,CA,93605,559,5465460,5595465460,,,,,,Zoey,Wilson,683761140,5/8/1991,Elm Avenue,101 Elm Avenue,Big Creek,CA,93605,559,6934256,5596934256
Samuel,Evans,923652552,2/27/1990,196,Locust Street,14202 Locust Street,Big Oak Flat,CA,95305,209,3123852,2093123852,,,,,,Jeremiah,Moore,391129772,5/10/1977,Grant Street,42 Grant Street,Big Oak Flat,CA,95305,209,7829039,2097829039
Andrew,Edwards,371726466,1/25/1980,941,Madison Avenue,14461 Madison Avenue,Big Pine,CA,93513,760,8241414,7608241414,,,,,,Lincoln,Taylor,149451136,12/5/1972,Hamilton Street,17 Hamilton Street,Big Pine,CA,93513,760,8016611,7608016611
Mateo,Collins,355647596,2/27/1990,638,Meadow Lane,14721 Meadow Lane,Big Sur,CA,93920,831,6786592,8316786592,,,,,,Landon,Anderson,880462211,11/10/1975,Holly Drive,76 Holly Drive,Big Sur,CA,93920,831,4720278,8314720278
Sofia,Stewart,892233597,5/31/1970,182,Ridge Road,14981 Ridge Road,Biggs,CA,95917,530,3688723,5303688723,,,,,,Adrian,Thomas,877313849,3/3/1988,King Street,136 King Street,Biggs,CA,95917,530,2629258,5302629258
Jaxon,Sanchez,254913063,5/2/1979,521,Spruce Street,15240 Spruce Street,Biola,CA,93606,559,3656280,5593656280,,,,,,Eli,Jackson,149668505,4/10/1992,Lafayette Avenue,195 Lafayette Avenue,Biola,CA,93606,559,8071922,5598071922
Josiah,Morris,169702503,6/4/1969,627,5th Street,15500 5th Street,Cambria,CA,93428,805,4769926,8054769926,,,,,,Hunter,Gray,918591062,5/20/1998,Linden Street,254 Linden Street,Cambria,CA,93428,805,5849481,8055849481
John,Rogers,654164082,1/25/1980,225,Grove Street,15760 Grove Street,Camino,CA,95709,530,6070969,5306070969,,,,,,Penelope,Ramirez,490525309,6/30/1990,Poplar Street,314 Poplar Street,Camino,CA,95709,530,1022045,5301022045
Scarlett,Reed,128092043,2/27/1990,841,Pearl Street,16020 Pearl Street,Camp Meeker,CA,95472,707,8692966,7078692966,,,,,,Skylar,James,630802028,5/8/1991,2nd Street East,373 2nd Street East,Camp Meeker,CA,95472,707,2716057,7072716057
Luke,Cook,517344798,5/31/1970,517,Lincoln Street,16279 Lincoln Street,Camp Nelson,CA,93265,559,8720606,5598720606,,,,,,Jonathan,Watson,908026389,5/10/1977,6th Street North,432 6th Street North,Camp Nelson,CA,93265,559,6717486,5596717486
Aria,Morgan,760515280,5/2/1979,701,Dogwood Drive,16539 Dogwood Drive,Camp Pendleton,CA,92055,760,5508720,7605508720,,,,,,Thomas,Brooks,569387212,12/5/1972,7th Street East,491 7th Street East,Camp Pendleton,CA,92055,760,2287903,7602287903
Ryan,Bell,499197569,1/25/1980,548,Madison Street,16799 Madison Street,Campbell,CA,95032,669,2130253,6692130253,,,,,,Jack,Kelly,502374519,11/10/1975,Cambridge Drive,551 Cambridge Drive,Campbell,CA,95032,669,8701083,6698701083
Elizabeth,Murphy,100786078,2/27/1990,346,Pennsylvania Avenue,17058 Pennsylvania Avenue,Daggett,CA,92327,760,7807650,7607807650,,,,,,Jordan,Sanders,738450612,3/3/1988,Clark Street,610 Clark Street,Daggett,CA,92327,760,9090776,7609090776
Camila,Bailey,773349040,5/31/1970,153,Pleasant Street,17318 Pleasant Street,Daly City,CA,94015,650,4175636,6504175636,,,,,,Connor,Price,987792993,4/10/1992,Essex Court,669 Essex Court,Daly City,CA,94015,650,2299710,6502299710
Nathan,Rivera,990878436,5/2/1979,920,4th Street West,17578 4th Street West,Dana Point,CA,92629,949,3322954,9493322954,,,,,,Brayden,Bennett,521475034,5/20/1998,Fairview Avenue,728 Fairview Avenue,Dana Point,CA,92629,949,9652601,9499652601
Layla,Cooper,850708350,6/4/1969,821,Adams Street,17838 Adams Street,Danville,CA,94526,925,9090202,9259090202,,,,,,Cameron,Wood,831545100,6/30/1990,Franklin Avenue,788 Franklin Avenue,Danville,CA,94526,925,9256540,9259256540
Isaac,Richardson,478100868,1/25/1980,663,Jefferson Avenue,18097 Jefferson Avenue,Dardanelle,CA,95314,209,8942605,2098942605,,,,,,Grace,Barnes,978080529,5/8/1991,Front Street North,847 Front Street North,Dardanelle,CA,95314,209,2369220,2092369220
Owen,Cox,162386539,2/27/1990,128,Lincoln Avenue,18357 Lincoln Avenue,Darwin,CA,93522,760,6153960,7606153960,,,,,,Bryson,Ross,370404322,5/10/1977,Highland Drive,906 Highland Drive,Darwin,CA,93522,760,2787141,7602787141
Ella,Howard,214734649,1/25/1980,912,3rd Street West,18617 3rd Street West,Davenport,CA,95017,831,4544197,8314544197,,,,,,Mila,Henderson,255879150,12/5/1972,Hilltop Road,965 Hilltop Road,Davenport,CA,95017,831,4422430,8314422430
Henry,Ward,256195800,2/27/1990,603,7th Street,18876 7th Street,Davis,CA,95618,530,1322858,5301322858,,,,,,Lillian,Coleman,317920916,11/10/1975,James Street,1025 James Street,Davis,CA,95618,530,8241280,5308241280
Levi,Torres,295985244,5/31/1970,807,Academy Street,19136 Academy Street,Davis Creek,CA,96108,530,9611452,5309611452,,,,,,Aaliyah,Jenkins,822819582,3/3/1988,Mulberry Street,1084 Mulberry Street,Davis Creek,CA,96108,530,8876539,5308876539
Aaron,Peterson,783648426,5/2/1979,576,11th Street,19396 11th Street,Eagleville,CA,96110,530,9929799,5309929799,,,,,,Jose,Perry,891000670,4/10/1992,Myrtle Avenue,1143 Myrtle Avenue,Eagleville,CA,96110,530,6230210,5306230210
Caleb,Gray,264346220,6/4/1969,232,2nd Avenue,19656 2nd Avenue,Earlimart,CA,93219,661,6349584,6616349584,,,,,,Lily,Powell,824630350,5/20/1998,Ridge Avenue,1203 Ridge Avenue,Earlimart,CA,93219,661,9919268,6619919268
Chloe,Ramirez,251704428,1/25/1980,209,East Street,19915 East Street,Earp,CA,92242,760,8314104,7608314104,,,,,,Paisley,Long,640029828,6/30/1990,Route 10,1262 Route 10,Earp,CA,92242,760,1726497,7601726497
Zoey,James,462638636,2/27/1990,586,Green Street,20175 Green Street,East Irvine,CA,92618,949,7883842,9497883842,,,,,,Xavier,Patterson,929470987,5/8/1991,Route 29,1321 Route 29,East Irvine,CA,92618,949,6729772,9496729772
Jeremiah,Watson,458519136,5/31/1970,495,Hickory Lane,20435 Hickory Lane,Echo Lake,CA,95721,530,4863994,5304863994,,,,,,Dominic,Hughes,558927573,5/10/1977,Shady Lane,1380 Shady Lane,Echo Lake,CA,95721,530,3435762,5303435762
Lincoln,Brooks,714468352,5/2/1979,239,Route 1,20694 Route 1,Edison,CA,93307,661,3715151,6613715151,,,,,,Bella,Flores,183886559,12/5/1972,Surrey Lane,1440 Surrey Lane,Edison,CA,93307,661,1646342,6611646342
Landon,Kelly,358643663,1/25/1980,920,12th Street,20954 12th Street,Edwards,CA,93524,661,5759123,6615759123,,,,,,Nicholas,Washington,632048004,11/10/1975,Walnut Avenue,1499 Walnut Avenue,Edwards,CA,93524,661,3002522,6613002522
Adrian,Sanders,975076018,2/27/1990,786,5th Avenue,21214 5th Avenue,El Cajon,CA,92119,858,4866405,8584866405,,,,,,Brooklyn,Butler,749312237,3/3/1988,Warren Street,1558 Warren Street,El Cajon,CA,92119,858,8497570,8588497570
Eli,Price,507408488,5/31/1970,571,6th Street,21474 6th Street,El Centro,CA,92244,760,5503370,7605503370,,,,,,Savannah,Simmons,420722630,4/10/1992,Williams Street,1617 Williams Street,El Centro,CA,92244,760,5383526,7605383526
Hunter,Bennett,266334332,5/2/1979,283,9th Street,21733 9th Street,Hacienda Heights,CA,91746,562,4167472,5624167472,,,,,,Emma,Foster,767168152,5/20/1998,Wood Street,1677 Wood Street,Hacienda Heights,CA,91746,562,3507506,5623507506
Penelope,Wood,268768041,6/4/1969,908,Cherry Lane,21993 Cherry Lane,Half Moon Bay,CA,94019,650,4147948,6504147948,,,,,,Liam,Gonzales,213241511,6/30/1990,5th Street,1736 5th Street,Half Moon Bay,CA,94019,650,3971249,6503971249
Skylar,Barnes,505733402,1/25/1980,587,Elizabeth Street,22253 Elizabeth Street,Hamilton City,CA,95951,530,7929978,5307929978,,,,,,Noah,Bryant,739252372,5/8/1991,Grove Street,1795 Grove Street,Hamilton City,CA,95951,530,4207192,5304207192
Jonathan,Ross,957983309,2/27/1990,524,Hill Street,22512 Hill Street,Hanford,CA,93230,559,7163747,5597163747,,,,,,Olivia,Alexander,967089153,5/10/1977,Pearl Street,1855 Pearl Street,Hanford,CA,93230,559,2701893,5592701893
Thomas,Henderson,150369500,1/25/1980,438,River Street,22772 River Street,Happy Camp,CA,96039,530,3352105,5303352105,,,,,,Ava,Russell,223496101,12/5/1972,Lincoln Street,1914 Lincoln Street,Happy Camp,CA,96039,530,9421940,5309421940
Jack,Coleman,543152169,2/27/1990,190,Summit Avenue,23032 Summit Avenue,Harbor City,CA,90710,310,7317264,3107317264,,,,,,Isabella,Griffin,704014474,11/10/1975,Dogwood Drive,1973 Dogwood Drive,Harbor City,CA,90710,310,6335854,3106335854
Jordan,Jenkins,511148104,5/31/1970,816,Virginia Avenue,23292 Virginia Avenue,Harmony,CA,93428,805,2294630,8052294630,,,,,,Sophia,Diaz,120451191,3/3/1988,Madison Street,2032 Madison Street,Harmony,CA,93428,805,1179149,8051179149
Connor,Perry,684177530,5/2/1979,253,10th Street,23551 10th Street,Igo,CA,96047,530,6123610,5306123610,,,,,,Elijah,Hayes,278787862,4/10/1992,Pennsylvania Avenue,2092 Pennsylvania Avenue,Igo,CA,96047,530,8236626,5308236626
Brayden,Powell,416960756,6/4/1969,776,Charles Street,23811 Charles Street,Imperial,CA,92251,760,3438900,7603438900,,,,,,Logan,Stewart,629354406,5/20/1998,Pleasant Street,2151 Pleasant Street,Imperial,CA,92251,760,8615880,7608615880
Cameron,Long,253283500,1/25/1980,134,Colonial Drive,24071 Colonial Drive,Imperial Beach,CA,91933,619,8822612,6198822612,,,,,,Mia,Sanchez,420916319,6/30/1990,4th Street West,2210 4th Street West,Imperial Beach,CA,91933,619,5041046,6195041046
Grace,Patterson,341564145,2/27/1990,358,1st Avenue,24330 1st Avenue,Independence,CA,93526,760,4709559,7604709559,,,,,,Mason,Morris,922762197,5/8/1991,Adams Street,2269 Adams Street,Independence,CA,93526,760,8489127,7608489127
Bryson,Hughes,225627173,5/31/1970,133,Fairway Drive,24590 Fairway Drive,Indian Wells,CA,92211,760,6561227,7606561227,,,,,,James,Rogers,672806375,5/10/1977,Jefferson Avenue,2329 Jefferson Avenue,Indian Wells,CA,92211,760,9457836,7609457836
Mila,Flores,780468748,5/2/1979,699,Liberty Street,24850 Liberty Street,Indio,CA,92203,760,3515114,7603515114,,,,,,Aiden,Reed,431240869,12/5/1972,Lincoln Avenue,2388 Lincoln Avenue,Indio,CA,92203,760,5605800,7605605800
Lillian,Washington,207725558,1/25/1980,939,Monroe Street,25110 Monroe Street,Inglewood,CA,90304,323,8601283,3238601283,,,,,,Ethan,Cook,486549404,11/10/1975,3rd Street West,2447 3rd Street West,Inglewood,CA,90304,323,6562826,3236562826
Aaliyah,Butler,766989856,2/27/1990,617,Valley Road,25369 Valley Road,Jackson,CA,95642,209,3697864,2093697864,,,,,,Lucas,Morgan,753952004,3/3/1988,7th Street,2506 7th Street,Jackson,CA,95642,209,9644343,2099644343
Jose,Simmons,188987637,5/31/1970,1900,2nd Street West,25629 2nd Street West,Jacumba,CA,91934,619,4742811,6194742811,,,,,,Jacob,Bell,458573631,4/10/1992,Academy Street,2566 Academy Street,Jacumba,CA,91934,619,1769620,6191769620
Lily,Foster,321358976,5/2/1979,667,3rd Avenue,25889 3rd Avenue,Jamestown,CA,95327,209,7425103,2097425103,,,,,,Michael,Murphy,445827711,5/20/1998,11th Street,2625 11th Street,Jamestown,CA,95327,209,7421301,2097421301
Paisley,Gonzales,521183360,6/4/1969,749,Broadway,26148 Broadway,Jamul,CA,91935,619,5376465,6195376465,,,,,,Matthew,Bailey,394081610,6/30/1990,2nd Avenue,2684 2nd Avenue,Jamul,CA,91935,619,8460667,6198460667
Xavier,Bryant,186636479,1/25/1980,410,Church Road,26408 Church Road,Janesville,CA,96114,530,1647031,5301647031,,,,,,Benjamin,Rivera,976226182,5/8/1991,East Street,2744 East Street,Janesville,CA,96114,530,5849815,5305849815
Dominic,Alexander,897542926,2/27/1990,935,Delaware Avenue,26668 Delaware Avenue,Kaweah,CA,93271,559,7212827,5597212827,,,,,,Amelia,Cooper,111178011,5/10/1977,Green Street,2803 Green Street,Kaweah,CA,93271,559,2886868,5592886868
Bella,Russell,872122277,1/25/1980,689,Route 30,26928 Route 30,Keeler,CA,93530,442,6750272,4426750272,,,,,,Charlotte,Richardson,511798259,12/5/1972,Hickory Lane,2862 Hickory Lane,Keeler,CA,93530,442,3291566,4423291566
Nicholas,Griffin,676095928,2/27/1990,1400,Sunset Drive,27187 Sunset Drive,Keene,CA,93531,661,1198034,6611198034,,,,,,Alexander,Cox,311202012,11/10/1975,Route 1,2921 Route 1,Keene,CA,93531,661,5858435,6615858435
Brooklyn,Diaz,709120292,5/31/1970,625,Vine Street,27447 Vine Street,Kelseyville,CA,95451,707,6342543,7076342543,,,,,,William,Powell,932140728,3/3/1988,12th Street,2981 12th Street,Kelseyville,CA,95451,707,5485324,7075485324
Savannah,Hayes,626877235,5/2/1979,112,Winding Way,27707 Winding Way,Kentfield,CA,94939,415,7601684,4157601684,,,,,,Daniel,Long,896020262,4/10/1992,5th Avenue,3040 5th Avenue,Kentfield,CA,94939,415,6728562,4156728562
